,Tweet,HS_Gender
4801,cocok cocok penis 4 istri perilaku seks simpang majelis ulama indonesia lgbt nilai perilaku seks simpang,1
4813,muka burik bangsat ngewe,1
4819,kayak banci kali ya,1
4834,jablay ya,1
4910,nih gera kontol bela chibi anjing,1
4912,manusia homo ngewe,1
5109,habis habis bang usir kafir cina nusantara racun akidah tukang sogok kristen lacur minum keras kafir anjing,1
5119,cebong gila ngamuk ngamuk bela sih homo nista agama haha,1
5123,tolol bencong bencoooooooonnnnnnggggg,1
5129,kontol indihome,1
5141,nya ngentot,1
5144,riak ombudsman ombudsman banci kaleng ombudsman banci kaleng uniform resource locator,1
5191,rupiah haneul sok mes cupu entot on retweet,1
5255,titit anies nih wakil presiden prabowo anjing,1
5262,ustad goblok nih tau kafir sunat umat yahudi bayi kayak nge i coli sunat muka,1
5288,gembel sok elite ngewe sari ayu halo mas kelas kambing main gue 2001 main hotel jayaka a tematik klasik malio x2 sumo samping tutup alexis ah main cebong kelas kambing cc,1
5345,bilang sayang tinggal gue kontol,1
5453,tangkap jenderal banci kayak prabowo bodoh,1
5486,banci kaleng kaleng kosong nyaring suara,1
5491,hoi gay banci situ kafir ya nge i islam orang hijrah hijab wajib saudara iman tutup negatif dasar kaum laknatullah alaih,1
5526,cewek x cowok kapel panggil daddy baby terima ya cowok x cowok pakai daddy baby an jijik bangsat,1
5544,banci berani lawan norma norma masyarakat sok the lowest human being ya sih manusia kacrut,1
5616,alquran kitab sampah aroma darah air mani tifatul,1
5654,eh bencong fitnah fitnah ya,1
5681,langsung main twitter sih bani bokep kemarin hobi kritik presiden kerja coli tonton bokep ya om miris xf,1
5754,haha muka banci kecoa kafir z,1
5777,oi anjing lacur ya laku bejat dasar anak haram wkwk,1
5827,lihat salah dukung mafia koruptor nista agama gerombol banci titot laku bidik arah,1
5857,sok ganteng banget sih bencong,1
5961,haha kafir plonga plongo nih muka banci salon uniform resource locator,1
5985,nih orang memek perek senang gue bilang emak perek ketemu ayo,1
6016,berisik duo manusia homo,1
6033,jiahahahhh sih bencong idiot galau keper nih sebar berita fitnah maklum sih gue bencong turun gerwani surat pemberitahuan cong fitnah makan surat pemberitahuan kerja suka mangkal emper hihi,1
6050,iya ya monyet anjing gue gampar kesal astagfirullah azim bicara kasar maaf kali ngentot uniform resource locator,1
6228,kampanye racist bicara nya ahok untung goblok kafir untung perkosa bunuh enak duit,1
6274,anjing ayam kampus ya,1
6305,udik gay,1
6352,dasar duo homo sarap aduh pusing pala bebi,1
6375,twitnya makan ringan gue cape gue urus banci,1
6571,kabur main dongok tribun kosong panjat haha ah payah kontol kontol haha,1
6594,wooyyy anjing lacur ya laku bejat dasar anak haram wkwk,1
6597,njinggg bencong gaya pakai blok blok wa,1
6621,persetan bocah kontol sok rad kecewa sekolah ganti nama sok mes tong biar coba sekolah kerja pacar tidur jajan sok sok an bilang harga,1
6631,indonesia palsu tanah lacur,1
6763,tuhan pilih gubernur lari arab ya cong nelo bencong otak idiot hina banget hidup ya cong,1
6778,eh ngentot marah,1
6793,oh paham cewek cadar cerita kali ya kasih tau cerita minum anjing pelihara anjing paham dasar banci asli cowok samar cewek cadar uniform resource locator,1
6820,ciri khas cebong lekat kalah data fakta langsung otak porno 2019 ganti presiden 2019 presiden jokowi,1
6895,oh ngewe mamak lahir hasil inses mamak ih banci sih ngewe laku anak haram kayak seram ya hater perintah ter,1
7032,duhhh banci media sosial murid napi 2 kali bui ya rumpi banget kayak junjung cong bencong mbok ya adab kayak residivis mentang mentang guru mantan residivis 2 kali b,1
7074,mardani presiden presiden manusia homo pe indonesia juragan,1
7076,bencong ivan percaya aduh kakak nya rebut laki orang bangga ya iya bilang hidup jujur jujur dese hobi boboin lekong mulu saban bal,1
7254,jalan akses tuju velodrome pakai asean games hehe bijak gubernur sungguh titit kuda,1
7316,indah cocot partai adil sejahtera bicara ketua kayak bencong gaya bicara aduh sadizzz,1
7368,tai isi banci ya,1
7418,mumpung gue puasa ngentot,1
7471,kuota searching ya monyet nyawa layang rezim orde kuota cari bokep biar otak kayak kampret bothnewyear baca buka wawas,1
7477,atuhlah nete goblok,1
7479,harap rizieq shihab pulang hadap hukum orang orang sawah taruh laut pecun dang berengsek jemput paksa kecuali polisi takut,1
7490,congor baginda paham a i dialog baginda paham fulus amp ngaceng,1
7578,dasar bencong,1
7594,muka kontol monyet,1
7716,sih perek,1
7746,he kontol sok mes rupiah muka kayak memek orang tua kayak monyet agama agama kontol 35,1
7773,sih bejat cabul kriminal oceh kriminalisasi ulama dasar munafik,1
7843,alah kontol,1
7872,alah bacot mulut lelaki terkadang,1
7943,haha banci kaleng langsung nyungsep pakai akun palsu banci ya saracen waspada waspada,1
7953,ahok kafir takut debat rakyat asli pribumi nelayan pakar reklamasi rakyat ahok kafir bencong,1
7966,emak jual ya bajing anak lacur rupa,1
7990,ustad ngentot ngentot pas dakwah ya kasih kutip dakwah,1
8045,alah komplot banci,1
8105,tolol sih cal laki,1
8153,a is kampung gmnin udik kampung handphone anak gue cemplung gue beli pakai keringat halal hasil kangkang laki orang,1
8164,kerja seks komersial tawar gerindra joko wi rakyat kere suruh jual kali bantu,1
8186,jilbab akhlak pecun ncuihhh,1
8199,bambang muka kontol hina ulama gue hajar dasar antek komunis,1
8220,dasar manusia homo,1
8231,teman manusia homo heran,1
8281,hafal surah alquran masuk ayat ayat rang bunuh penggal kafir ayat cocok cocok penis,1
8365,plagiat lagu kaum kontol,1
8418,alamat kerja kasih biar bukti lgbt aka banci kaleng,1
8497,bencong teriak bencong,1
8505,bagas homo kemarin lihat profil grindr,1
8510,auti auti autis ya banci autis seram lt,1
8525,urus urus orang mulut nyinyir kayak banci lekong,1
8527,cowok berengsek amp kecut orang cewek harap,1
8540,kalem kontol,1
8545,rokok bro gue rokok men ah banci rokok eh lihat banci rokok kali eh iya,1
8662,gue enek urus orang tau dasar cewek alay,1
8669,goblok rizieq tukang bikin onar wajar orang muak siang teriak takbir malam chat mesum munafik bikin orang bodoh kayak istri,1
8673,iya pakai kendara jablay,1
8676,wkwk gue bencong,1
8728,cowok jaman putus suka jelek mantan bispak perek cowok kayak banci cabe cabe,1
8803,eh perek gue hiatus tai,1
8953,nampaknya paket sokong cina babi sokong lgbt,1
9141,banci banget anjing mantan,1
9223,sombong jomlo menang gue dasar manusia homo,1
9293,iya bencong idiot surat pemberitahuan pakai foto asli,1
9338,ya gue balas sakit jiwa ettt laki banci uniform resource locator,1
9421,adik maling kerja maling mati maling anak haram kontol,1
9475,gincu berani dasar banci,1
9490,kisah nyata malin kundang 100 daftar nama kalimat ngewe wanita 1 menteri agama 2 ciputat 3 ciputat raya 4 bendi negara 5 bendi polisi 6 bendi tahan 7 surat terang catat polisi 8 sabang,1
9531,sunat titit kalah anjing ahok hehe,1
9593,sih banci bikin sensasi nih uniform resource locator,1
9641,kodrat pecun dang pintar cari alas,1
9732,manusia homo teriak manusia homo,1
9795,kerudung sih transgender makan busuk seram laku wajah sundal bolong zaman now,1
9924,menteri suha o homo,1
9962,raih gue matre bayar fakta dasar banci potong fukonserawlex uniform resource locator,1
9974,kerja seks komersial campur lepas kerudung kerja seks komersial baca twit nya fahri benci jokowi balas jokowi presiden maki maki orang fahri twit fahri penuh,1
9996,ejek bacot ngentot nikah ajak ngewe,1
10036,gue dengar bocah khayal mimpi basah komentar ulah anak orang kayak ayo bocah presiden hina,1
10091,buka ekspektasi gue ya flasback bahas ngegoblokin laku pas sekolah biar have fun realitanya bahas kerja sombong anggap kerja kontol bangsat dasar adit fajar ilmiah,1
10092,udik gay,1
10101,pb wibowo gay ya,1
10119,jablay ya cari perhati tulang tulang cih in ah,1
10136,dungu ya dukung prabowo cong serang hadehhh dasar banci ya,1
10208,bicara sih suruh sih cabul pulang banci,1
10250,jimin link dasar manusia homo jin sueeeee gue idih ogaaaah non rebreathing mask gue suka cewek buru apussssssssssssss,1
10335,presiden polling menang mimpi onani,1
10358,gila coba faedah keroyok orang gara gara bikin meme bahan meme hubung keroyok boro boro anggota keluarga kenal kontol bangsat gobloooooooo,1
10398,deh suruh sih banci pulang selesai pe anggung sp 3 tangan lantas banci,1
10442,kafir banci ya ya ampun kafir banci sedih ya cong google deh kafir banci kayak,1
10578,victor koar kayak bakar jenggot viktor ulang kali koar masjid jalan spe i sih banci guru viktor chat mesum bikin rusuh dunia dasar munafik,1
10636,banci kaleng,1
10662,bangsat sedak kentang gue wkwk tolol lendir memek anjing,1
10688,a i pe anyaanmu tunggu 2 menit ya arti bencong gembel warung internet haha,1
10697,akun ketua andre cebong susup homo kampret,1
10782,gange i tentara nasional indonesia ngewe banci mending tania tentara nasional indonesia nya tania kasih memek uniform resource locator,1
10852,allah hu barbar perintah penggal kafir bang fahri allah hu barbar ajar cocok cocok penis,1
10854,jablay pacar gue bangsat gue ajar,1
10861,cewek bejat banget sih cy,1
10911,waaah sih perek gerwani gangbang babi sipit bentuk adik ya choong hancur hasil entot kuda babi sipit ngooaaahahaaa keluarga hewan,1
10999,prabowo kecut tuduh elite goblok maling serampang jantan nama orang berani bera i banci maksud ketua ai lawan politik haha salam 2 periode,1
11007,tau akun promosi gigolo pas lihat minat booking laki gay fix akun bencong najis ngentot,1
11038,rupiah haneul bejat suka memek muka berondong on retweet,1
11096,he kontol sok mes rupiah muka kayak memek orang tua kayak monyet agama agama kontol 9,1
11188,haha gilir majikan mesum 7 sih kunyuk diam sok suci maki pikir sex muka lacur kunyuk,1
11224,wajah anak lihat banget ya penuh dendam benci anak anak makan hasil uang haram kayak banci rumpi maki gue makan tai istri a anak anak o makan bangkai uang haram,1
11229,songong bencong halu berita min,1
11416,malu nama peci dasar pecun,1
11424,omong mu rusak dasar kontol,1
11500,banci uniform resource locator,1
11719,banci berani balas dasar takut wkwk,1
11735,dunia penuh munafik sok suci sepe i ahok bilang salah kabur sih cabul sih jijik jilat memek bohong kabur salah meme,1
11827,pandai jilat pantat kuasa pandai tantang orang dasar lacur politik,1
11841,bu sus cuil titit nyawa pikir letak kali cari pakai global positioning system google map ketemu,1
11882,salah pangkah tai tai lgbt liberal raja ampu kafir harbi,1
11924,manusia homo,1
11968,banci banci,1
12073,orang bodoh logika dangkal situ pintar menteri energi sumber daya mineral coba ajak debat sumber baca internet koar koar olah pintar bani cabul kibul kerja berisik,1
12128,dewan wakil rakyat dewan wakil rakyat daerah jancuk anjing anjing babi kontol jembut bajing bangsat tempek gendeng taeeekkk banci,1
12297,muka muka pecun nih,1
12344,sok polos genit kayak banci,1
12405,transgender iya biar tenar,1
12411,kacau palsu sok cantik munafik bohong publik sensasi bencong uniform resource locator,1
12422,jual memek media sosial dasar pecun,1
12604,ambil tete mama ambil gue nete sapi,1
12607,aduh ngentot ngentot,1
12624,pikir 2019 ganti presiden deh ganti kelamin normal bacot,1
12633,like the game itself is open to everything fuck markus ngewe simon instead sure here is the canon in game cerita orang bikin be iga markus pol serah nbut as bule,1
12658,berani foto cundang antek antek kompeni tonton bokep mulu ditwitter hancur indonesia dasar otak mesum,1
12707,sarap tega banget sih laku anak surat pemberitahuan hewan gue suami gue ambil anak gue lapor polisi amp gue cerai langsung cih najis perempuan kayak,1
12837,agama islam kristen yahudi agama seks perempuan agama kerja ekstra keras manusia tara,1
12884,lengkap tim anies sandi cabul makar,1
12890,langsung tag ainya berani ya bera i banci,1
12961,lu banci ku cewek takut serang cewek sembunyi wajah mu,1
12985,ahmad dhani hormat babi anjing kontol lonte tunggu nya karier mu habis,1
12996,jomlo jablay kebelet pacar jomlo jablay kebelet pacar,1
13040,ih dasar manusia homo,1
13093,ya tau keluarga onta dungu mak perek gerwani kuda prabowo ngeeooahahahaaaaaaa,1
13132,sih mantan pacar sok sok bikin thread tipu daya laki laki malu titit,1
13152,rizieq shihab front bela islam jancuk anjing kontol tempek anjing babi bajing bangsat lonte balon banci bencong tai cabul kecut cok teroris bubar organisasi masyarakat front bela islam hizbut tahrir indonesia makar,1
0,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,0
1,telat tau edan sarap gue gaul cigax jifla cal licew,0
2,41 kadang pikir percaya tuhan jatuh kali kali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter,0
3,ku tau mata sipit lihat,0
4,kaum cebong kafir lihat dongok dungu haha,0
5,ya bani taplak kawan kawan,0
6,deklarasi pilih kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0
7,gue selesai re watch aldnoah zero kampret 2 karakter utama cowok kena friendzone bro xd uniform resource locator,0
8,admin belanja po nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang,0
9,enak ngewe,0
10,gue jari gue ukur nyali bacot,0
12,ajar ekonomi mesti jago privatisasi hati orang aduh ironi,0
13,aktor huru hara 98 prabowo si lengser perintah jokowi nyata,0
15,lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,0
16,pikir ampas banget ya,0
17,ari bek rapi monyet,0
19,alga mnr bom,0
20,anjing ya gue jarang ambek takut wkwk gue budak cinta,0
21,noob peluang sakit nya gede sih,0
22,joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0
23,ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah 2018 damai,0
24,bandara udara internasional ajati bangun gubernur ahmad heryawan anggar belanja negara perintah pusat insya allah operasi,0
25,gubernur presiden rakyat ya,0
26,sih kerja delay mulu setan,0
27,pintu sorga pintu sorga asli pintu hati modus banget,0
28,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,0
29,nenek nenek heran cebong bohong,0
30,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,0
31,habis sahur jam 10 si bayi nete kali lemas,0
32,kak emak suka sipit wkwk,0
33,laku homo jaman now ngentot live blued gay video gvid lokal hangat uniform resource locator,0
34,kak gue orang jawa maaf ya gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang,0
35,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,0
36,para bajing luka lady terima ganjar ratus kali lipat sanji selamat ulang laut jkt48,0
37,aja tolak berita hoaks sukses pilih kepala daerah wilayah kota,0
38,presiden ri jokowi kerja nya tulus ikhlas rakyat jokowi,0
39,edan tuju fabiano,0
40,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,0
41,lihat beda wibawa wibawa gubernur indonesia masya allah,0
42,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,0
43,gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama sungguh kaya djarot hadap pese a rakercabsu,0
44,iya islam lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,0
45,cipta situasi aman tertib masyarakat jelang pilih kepala daerah 2018 kepala polisi sektor konang silaturahmi tokoh masyarakat,0
46,positif nse positif respon masyarakat hadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl,0
47,sembahyang adopsi tradisi lokal kerja hindu istilah sembahyang pun lahir tradisi ritus menyembahhyang tunggal shalat sembah all,0
48,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,0
49,ahok the best abai kaum kampret otak micin,0
50,sih otak tempurung laden lawan dungu makan hehe,0
51,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,0
52,pinokio umur 3 2019 ganti presiden,0
53,cerita silat lae kho merah muda oh indonesia liang ie shen tulis cina,0
54,benci umat islam,0
55,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,0
56,gue nete,0
57,wkwk bani lowo,0
58,takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah atus ratus laknat hasud takabur orang ahli ilmu filsafat failosof mari demo sendi,0
59,a orang suka konser konser boros,0
60,makan racun ulama hukum rokok mubah,0
61,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus khofifah emil nomor,0
63,suka video uniform resource locator kisah seteru haji bolot amp malih tongtong,0
64,budaya kafir sungguh islam indah,0
65,hem hem diam bisu coba rumput goyang,0
66,setan bisik was was lindung allah qs al a raf 200 fussilat 36,0
67,ateis sibuk agama orang,0
68,lengser jokowi bangsat,0
69,selamat kakak 2019 ganti presiden 2019 presiden,0
71,iya cocot,0
72,budaya indonesia,0
73,ajar salat a orang asing pecah belah islam,0
74,x bicara bangkai,0
75,percaya negara jajah ranah bubar sistem sistem beraja negara negara republik komunis negara negara jaja,0
76,nikmat bijak usul partai komunis indonesia iya,0
77,umpama orang cina usir paksa indonesia,0
78,bunda ngentot yuk,0
79,cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,0
80,karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing kebo ohannya keliru tutup akun,0
81,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,0
82,wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara,0
83,ab pribadi senang kompetisi positif,0
84,kitab suci agama bilang om dadak kalap,0
85,suka tutup mata tutup lihat te utup gara gara sipit,0
86,muslim nista kitab suci alquran an alquran an suku detik makna faktual umat islam makna sirat fiksi,0
87,eh kasar kampang,0
88,bentar gue rilis album the onta si wkwk,0
89,cebong bang,0
90,najis banget gue mentwit barusan he,0
92,awas bintit intip titit kucing,0
93,bawel bawa asa bolot bodor wkwk ya deh,0
94,gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,0
95,salah target ahok agenda utama lengser jokowi,0
96,kena tagar panas banget 2019 ganti presiden,0
97,maju duit goyang kaki pape duit nak maju kat bodoh uniform resource locator,0
98,huria kristen batak protestan pecah kristen katolik zaman jajah belanda nama kristen protestan kristen katolik pecah huria kristen batak protestan p kali tarutung k,0
99,baca biar pintar jepang amerika cina utang tau,0
100,prabowo kalah bantu jokowi citra ratap pilu,0
101,takut azan iblis,0
102,goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,0
103,cebong sewot,0
104,2 gera tekan kerja keras total tingkat potensi bangsa,0
105,gubernur djarot mayoritas ai politik dewan wakil rakyat daerah dukung ahok djarot payah ya uniform resource locator,0
106,rezim rusak sistem sibuk cari cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,0
107,orang orang tuding antek asing asing sungguh be epuk tangan,0
108,anti asing,0
109,selamat moga kiprah tingkat nasional,0
110,asyik menang sih ulama,0
111,ketapang tenaga kerja asing asing kerja usaha masuk pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,0
113,bom surat harga syariah negara,0
